datetime,time_seconds,power_kw,energy_kwh,power_kw_flexible,energy_kwh_flexible,power_kw_inflexible,energy_kwh_inflexible,building_id
2026-01-01 12:15:00,44100,45.0,11.25,25.0,6.25,20.0,5.0,0
2026-01-01 12:30:00,45000,45.0,11.25,25.0,6.25,20.0,5.0,0
2026-01-01 12:45:00,45900,45.0,11.25,25.0,6.25,20.0,5.0,0
2026-01-01 13:00:00,46800,45.0,11.25,25.0,6.25,20.0,5.0,0
2026-01-01 13:15:00,47700,45.0,11.25,25.0,6.25,20.0,5.0,0
2026-01-01 13:30:00,48600,45.0,11.25,25.0,6.25,20.0,5.0,0
2026-01-01 13:45:00,49500,45.0,11.25,25.0,6.25,20.0,5.0,0
2026-01-01 14:00:00,50400,45.0,11.25,25.0,6.25,20.0,5.0,0
2026-01-01 14:15:00,51300,45.0,11.25,25.0,6.25,20.0,5.0,0
2026-01-01 14:30:00,52200,45.0,11.25,25.0,6.25,20.0,5.0,0
2026-01-01 14:45:00,53100,45.0,11.25,25.0,6.25,20.0,5.0,0
2026-01-01 15:00:00,54000,45.0,11.25,25.0,6.25,20.0,5.0,0
2026-01-01 15:15:00,54900,45.0,11.25,25.0,6.25,20.0,5.0,0
2026-01-01 15:30:00,55800,45.0,11.25,25.0,6.25,20.0,5.0,0
2026-01-01 15:45:00,56700,45.0,11.25,25.0,6.25,20.0,5.0,0
2026-01-01 16:00:00,57600,45.0,11.25,25.0,6.25,20.0,5.0,0
2026-01-01 16:15:00,58500,45.0,11.25,25.0,6.25,20.0,5.0,0
2026-01-01 16:30:00,59400,45.0,11.25,25.0,6.25,20.0,5.0,0
2026-01-01 16:45:00,60300,45.0,11.25,25.0,6.25,20.0,5.0,0
2026-01-01 17:00:00,61200,60.0,15.0,40.0,10.0,20.0,5.0,0
2026-01-01 17:15:00,62100,60.0,15.0,40.0,10.0,20.0,5.0,0
2026-01-01 17:30:00,63000,60.0,15.0,40.0,10.0,20.0,5.0,0
2026-01-01 17:45:00,63900,60.0,15.0,40.0,10.0,20.0,5.0,0
2026-01-01 18:00:00,64800,60.0,15.0,40.0,10.0,20.0,5.0,0
2026-01-01 18:15:00,65700,60.0,15.0,40.0,10.0,20.0,5.0,0
2026-01-01 18:30:00,66600,60.0,15.0,40.0,10.0,20.0,5.0,0
2026-01-01 18:45:00,67500,60.0,15.0,40.0,10.0,20.0,5.0,0
2026-01-01 19:00:00,68400,60.0,15.0,40.0,10.0,20.0,5.0,0
2026-01-01 19:15:00,69300,60.0,15.0,40.0,10.0,20.0,5.0,0
2026-01-01 19:30:00,70200,60.0,15.0,40.0,10.0,20.0,5.0,0
2026-01-01 19:45:00,71100,60.0,15.0,40.0,10.0,20.0,5.0,0
2026-01-01 20:00:00,72000,60.0,15.0,40.0,10.0,20.0,5.0,0
2026-01-01 20:15:00,72900,60.0,15.0,40.0,10.0,20.0,5.0,0
2026-01-01 20:30:00,73800,60.0,15.0,40.0,10.0,20.0,5.0,0
2026-01-01 20:45:00,74700,60.0,15.0,40.0,10.0,20.0,5.0,0
2026-01-01 21:00:00,75600,25.0,6.25,5.0,1.25,20.0,5.0,0
2026-01-01 21:15:00,76500,25.0,6.25,5.0,1.25,20.0,5.0,0
2026-01-01 21:30:00,77400,25.0,6.25,5.0,1.25,20.0,5.0,0
2026-01-01 21:45:00,78300,25.0,6.25,5.0,1.25,20.0,5.0,0
2026-01-01 22:00:00,79200,25.0,6.25,5.0,1.25,20.0,5.0,0
2026-01-01 22:15:00,80100,25.0,6.25,5.0,1.25,20.0,5.0,0
2026-01-01 22:30:00,81000,25.0,6.25,5.0,1.25,20.0,5.0,0
2026-01-01 22:45:00,81900,25.0,6.25,5.0,1.25,20.0,5.0,0
2026-01-01 23:00:00,82800,25.0,6.25,5.0,1.25,20.0,5.0,0
2026-01-01 23:15:00,83700,25.0,6.25,5.0,1.25,20.0,5.0,0
2026-01-01 23:30:00,84600,25.0,6.25,5.0,1.25,20.0,5.0,0
2026-01-01 23:45:00,85500,25.0,6.25,5.0,1.25,20.0,5.0,0
2026-01-02 00:00:00,86400,20.0,5.0,0.0,0.0,20.0,5.0,0
2026-01-02 00:15:00,87300,20.0,5.0,0.0,0.0,20.0,5.0,0
2026-01-02 00:30:00,88200,20.0,5.0,0.0,0.0,20.0,5.0,0
2026-01-02 00:45:00,89100,20.0,5.0,0.0,0.0,20.0,5.0,0
2026-01-02 01:00:00,90000,20.0,5.0,0.0,0.0,20.0,5.0,0
2026-01-02 01:15:00,90900,20.0,5.0,0.0,0.0,20.0,5.0,0
2026-01-02 01:30:00,91800,20.0,5.0,0.0,0.0,20.0,5.0,0
2026-01-02 01:45:00,92700,20.0,5.0,0.0,0.0,20.0,5.0,0
2026-01-02 02:00:00,93600,20.0,5.0,0.0,0.0,20.0,5.0,0
2026-01-02 02:15:00,94500,20.0,5.0,0.0,0.0,20.0,5.0,0
2026-01-02 02:30:00,95400,20.0,5.0,0.0,0.0,20.0,5.0,0
2026-01-02 02:45:00,96300,20.0,5.0,0.0,0.0,20.0,5.0,0
2026-01-02 03:00:00,97200,20.0,5.0,0.0,0.0,20.0,5.0,0
2026-01-02 03:15:00,98100,20.0,5.0,0.0,0.0,20.0,5.0,0
2026-01-02 03:30:00,99000,20.0,5.0,0.0,0.0,20.0,5.0,0
2026-01-02 03:45:00,99900,20.0,5.0,0.0,0.0,20.0,5.0,0
2026-01-02 04:00:00,100800,20.0,5.0,0.0,0.0,20.0,5.0,0
2026-01-02 04:15:00,101700,20.0,5.0,0.0,0.0,20.0,5.0,0
2026-01-02 04:30:00,102600,20.0,5.0,0.0,0.0,20.0,5.0,0
2026-01-02 04:45:00,103500,20.0,5.0,0.0,0.0,20.0,5.0,0
2026-01-02 05:00:00,104400,20.0,5.0,0.0,0.0,20.0,5.0,0
2026-01-02 05:15:00,105300,20.0,5.0,0.0,0.0,20.0,5.0,0
2026-01-02 05:30:00,106200,20.0,5.0,0.0,0.0,20.0,5.0,0
2026-01-02 05:45:00,107100,20.0,5.0,0.0,0.0,20.0,5.0,0
2026-01-02 06:00:00,108000,20.0,5.0,0.0,0.0,20.0,5.0,0
2026-01-02 06:15:00,108900,20.0,5.0,0.0,0.0,20.0,5.0,0
2026-01-02 06:30:00,109800,20.0,5.0,0.0,0.0,20.0,5.0,0
2026-01-02 06:45:00,110700,20.0,5.0,0.0,0.0,20.0,5.0,0
2026-01-02 07:00:00,111600,20.0,5.0,0.0,0.0,20.0,5.0,0
2026-01-02 07:15:00,112500,20.0,5.0,0.0,0.0,20.0,5.0,0
2026-01-02 07:30:00,113400,20.0,5.0,0.0,0.0,20.0,5.0,0
2026-01-02 07:45:00,114300,20.0,5.0,0.0,0.0,20.0,5.0,0
2026-01-02 08:00:00,115200,45.0,11.25,25.0,6.25,20.0,5.0,0
2026-01-02 08:15:00,116100,45.0,11.25,25.0,6.25,20.0,5.0,0
2026-01-02 08:30:00,117000,45.0,11.25,25.0,6.25,20.0,5.0,0
2026-01-02 08:45:00,117900,45.0,11.25,25.0,6.25,20.0,5.0,0
2026-01-02 09:00:00,118800,45.0,11.25,25.0,6.25,20.0,5.0,0
2026-01-02 09:15:00,119700,45.0,11.25,25.0,6.25,20.0,5.0,0
2026-01-02 09:30:00,120600,45.0,11.25,25.0,6.25,20.0,5.0,0
2026-01-02 09:45:00,121500,45.0,11.25,25.0,6.25,20.0,5.0,0
2026-01-02 10:00:00,122400,45.0,11.25,25.0,6.25,20.0,5.0,0
2026-01-02 10:15:00,123300,45.0,11.25,25.0,6.25,20.0,5.0,0
2026-01-02 10:30:00,124200,45.0,11.25,25.0,6.25,20.0,5.0,0
2026-01-02 10:45:00,125100,45.0,11.25,25.0,6.25,20.0,5.0,0
2026-01-02 11:00:00,126000,45.0,11.25,25.0,6.25,20.0,5.0,0
2026-01-02 11:15:00,126900,45.0,11.25,25.0,6.25,20.0,5.0,0
2026-01-02 11:30:00,127800,45.0,11.25,25.0,6.25,20.0,5.0,0
2026-01-02 11:45:00,128700,45.0,11.25,25.0,6.25,20.0,5.0,0
2026-01-02 12:00:00,129600,45.0,11.25,25.0,6.25,20.0,5.0,0
2026-01-02 12:15:00,130500,45.0,11.25,25.0,6.25,20.0,5.0,0
2026-01-02 12:30:00,131400,45.0,11.25,25.0,6.25,20.0,5.0,0
2026-01-02 12:45:00,132300,45.0,11.25,25.0,6.25,20.0,5.0,0
2026-01-02 13:00:00,133200,45.0,11.25,25.0,6.25,20.0,5.0,0
2026-01-02 13:15:00,134100,45.0,11.25,25.0,6.25,20.0,5.0,0
2026-01-02 13:30:00,135000,45.0,11.25,25.0,6.25,20.0,5.0,0
2026-01-02 13:45:00,135900,45.0,11.25,25.0,6.25,20.0,5.0,0
2026-01-02 14:00:00,136800,45.0,11.25,25.0,6.25,20.0,5.0,0
2026-01-02 14:15:00,137700,45.0,11.25,25.0,6.25,20.0,5.0,0
2026-01-02 14:30:00,138600,45.0,11.25,25.0,6.25,20.0,5.0,0
2026-01-02 14:45:00,139500,45.0,11.25,25.0,6.25,20.0,5.0,0
2026-01-02 15:00:00,140400,45.0,11.25,25.0,6.25,20.0,5.0,0
2026-01-02 15:15:00,141300,45.0,11.25,25.0,6.25,20.0,5.0,0
2026-01-02 15:30:00,142200,45.0,11.25,25.0,6.25,20.0,5.0,0
2026-01-02 15:45:00,143100,45.0,11.25,25.0,6.25,20.0,5.0,0
2026-01-02 16:00:00,144000,45.0,11.25,25.0,6.25,20.0,5.0,0
2026-01-02 16:15:00,144900,45.0,11.25,25.0,6.25,20.0,5.0,0
2026-01-02 16:30:00,145800,45.0,11.25,25.0,6.25,20.0,5.0,0
2026-01-02 16:45:00,146700,45.0,11.25,25.0,6.25,20.0,5.0,0
2026-01-02 17:00:00,147600,60.0,15.0,40.0,10.0,20.0,5.0,0
2026-01-02 17:15:00,148500,60.0,15.0,40.0,10.0,20.0,5.0,0
2026-01-02 17:30:00,149400,60.0,15.0,40.0,10.0,20.0,5.0,0
2026-01-02 17:45:00,150300,60.0,15.0,40.0,10.0,20.0,5.0,0
2026-01-02 18:00:00,151200,60.0,15.0,40.0,10.0,20.0,5.0,0
2026-01-02 18:15:00,152100,60.0,15.0,40.0,10.0,20.0,5.0,0
2026-01-02 18:30:00,153000,60.0,15.0,40.0,10.0,20.0,5.0,0
2026-01-02 18:45:00,153900,60.0,15.0,40.0,10.0,20.0,5.0,0
2026-01-02 19:00:00,154800,60.0,15.0,40.0,10.0,20.0,5.0,0
2026-01-02 19:15:00,155700,60.0,15.0,40.0,10.0,20.0,5.0,0
2026-01-02 19:30:00,156600,60.0,15.0,40.0,10.0,20.0,5.0,0
2026-01-02 19:45:00,157500,60.0,15.0,40.0,10.0,20.0,5.0,0
2026-01-02 20:00:00,158400,60.0,15.0,40.0,10.0,20.0,5.0,0
2026-01-02 20:15:00,159300,60.0,15.0,40.0,10.0,20.0,5.0,0
2026-01-02 20:30:00,160200,60.0,15.0,40.0,10.0,20.0,5.0,0
2026-01-02 20:45:00,161100,60.0,15.0,40.0,10.0,20.0,5.0,0
2026-01-02 21:00:00,162000,25.0,6.25,5.0,1.25,20.0,5.0,0
2026-01-02 21:15:00,162900,25.0,6.25,5.0,1.25,20.0,5.0,0
2026-01-02 21:30:00,163800,25.0,6.25,5.0,1.25,20.0,5.0,0
2026-01-02 21:45:00,164700,25.0,6.25,5.0,1.25,20.0,5.0,0
2026-01-02 22:00:00,165600,25.0,6.25,5.0,1.25,20.0,5.0,0
2026-01-02 22:15:00,166500,25.0,6.25,5.0,1.25,20.0,5.0,0
2026-01-02 22:30:00,167400,25.0,6.25,5.0,1.25,20.0,5.0,0
2026-01-02 22:45:00,168300,25.0,6.25,5.0,1.25,20.0,5.0,0
2026-01-02 23:00:00,169200,25.0,6.25,5.0,1.25,20.0,5.0,0
2026-01-02 23:15:00,170100,25.0,6.25,5.0,1.25,20.0,5.0,0
2026-01-02 23:30:00,171000,25.0,6.25,5.0,1.25,20.0,5.0,0
2026-01-02 23:45:00,171900,25.0,6.25,5.0,1.25,20.0,5.0,0
